added_fields,added_methods,added_packages,added_relations,added_types,agent,changed_fields,changed_methods,changed_relations,component_exact_fields,component_exact_methods,component_exact_packages,component_exact_relations,component_exact_types,component_fuzzy_field_preservation,component_fuzzy_matched_type_coverage,component_fuzzy_method_preservation,component_fuzzy_name_package_retention,component_fuzzy_relation_preservation,exact_similarity,fuzzy_similarity,likely_renamed_or_moved_types,missing_fields,missing_methods,missing_packages,missing_relations,missing_types,repo_slug,run_id,variant
6,14,1,130,1,claude,8,15,0,0.88172,0.875,0.933333,0.888889,0.987013,0.88172,0.987013,0.87703,1.0,0.165079,0.914011,0.745038,0,0,9,0,133,0,YeautyYE_netty-websocket-spring-boot-starter,20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,generated
33,7,1,127,1,claude,13,23,0,0.480447,0.849057,0.933333,0.839744,0.987013,0.480447,0.987013,0.851064,1.0,0.166667,0.833888,0.68005,0,34,10,0,133,0,YeautyYE_netty-websocket-spring-boot-starter,20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,v2
18,15,1,142,1,claude,30,40,0,0.516129,0.706731,0.933333,0.814815,0.961039,0.516129,0.987013,0.708434,1.0,0.141975,0.796803,0.650704,0,12,26,0,136,0,YeautyYE_netty-websocket-spring-boot-starter,20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,v3
2,22,0,66,0,claude,2,33,0,0.904762,0.269231,1.0,0.813559,1.0,0.904762,1.0,0.269231,1.0,0.20339,0.783628,0.640408,0,2,64,0,75,0,JMCuixy_swagger2word,20260515T132132Z__JMCuixy_swagger2word__0da57120,generated
14,17,0,75,1,claude,1,28,0,0.808081,0.328502,1.0,0.827957,0.974359,0.824742,0.974359,0.333333,1.0,0.193548,0.778889,0.631073,0,1,63,0,75,0,JMCuixy_swagger2word,20260515T132132Z__JMCuixy_swagger2word__0da57120,v2
0,18,1,66,1,claude,1,18,0,0.928571,0.674603,0.933333,0.892655,0.974359,0.95122,0.974359,0.691057,1.0,0.20339,0.878926,0.724049,0,2,22,0,75,0,JMCuixy_swagger2word,20260515T132132Z__JMCuixy_swagger2word__0da57120,v3
12,18,0,149,3,claude,11,12,0,0.825,0.70852,1.0,0.846535,0.971963,0.853448,0.953271,0.748815,1.0,0.366337,0.862405,0.755346,0,0,11,0,107,2,eugene-khyst_postgresql-event-sourcing,20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,generated
4,27,0,155,2,claude,11,13,0,0.828829,0.672646,1.0,0.841076,0.971963,0.840183,0.971963,0.688073,1.0,0.356968,0.854167,0.744473,0,9,15,0,108,1,eugene-khyst_postgresql-event-sourcing,20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,v2
11,19,1,138,3,claude,9,11,0,0.75576,0.676329,0.976744,0.806202,0.934579,0.780952,0.953271,0.696517,1.0,0.351421,0.821809,0.730283,1,17,20,0,113,2,eugene-khyst_postgresql-event-sourcing,20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,v3
24,90,7,280,13,claude,22,81,0,0.6,0.589286,0.533333,0.691706,0.742857,0.751323,0.8,0.654348,0.959963,0.134585,0.654416,0.613211,7,26,66,0,273,22,facebook_SoLoader,20260515T132149Z__facebook_SoLoader__d3d721fb,generated
18,89,5,275,19,claude,20,70,0,0.512,0.554,0.615385,0.691358,0.729282,0.743662,0.773481,0.625,0.971721,0.175926,0.638866,0.609747,6,33,107,0,259,22,facebook_SoLoader,20260515T132149Z__facebook_SoLoader__d3d721fb,v2
50,117,6,230,14,claude,25,54,0,0.375267,0.422907,0.571429,0.58,0.77907,0.551724,0.767442,0.46798,0.962209,0.18,0.566782,0.547808,8,43,207,0,262,26,facebook_SoLoader,20260515T132149Z__facebook_SoLoader__d3d721fb,v3
2,6,0,183,1,claude,4,14,0,0.936364,0.932075,1.0,0.96587,0.990654,0.936364,0.990654,0.935606,1.0,0.395904,0.964294,0.823748,0,4,0,0,171,0,feiniaojin_graceful-response,20260515T132155Z__feiniaojin_graceful-response__cf1cd118,generated
2,82,0,196,1,claude,1,20,0,0.944444,0.757679,1.0,0.943144,0.990654,0.944444,0.990654,0.758974,1.0,0.384615,0.923809,0.786812,0,8,19,0,172,0,feiniaojin_graceful-response,20260515T132155Z__feiniaojin_graceful-response__cf1cd118,v2
4,60,1,190,2,claude,3,9,0,0.877358,0.771739,0.933333,0.907216,0.990654,0.889952,0.971963,0.787431,1.0,0.360825,0.899113,0.772774,0,13,37,0,182,1,feiniaojin_graceful-response,20260515T132155Z__feiniaojin_graceful-response__cf1cd118,v3
1,18,0,166,1,claude,9,62,0,0.804233,0.534435,0.923077,0.742991,0.891304,0.888889,0.891304,0.570588,1.0,0.130841,0.765553,0.647553,0,0,4,1,206,9,jenkinsci_jenkinsfile-runner,20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,generated
7,16,0,159,2,claude,7,56,0,0.747368,0.477273,0.923077,0.685579,0.913043,0.840237,0.869565,0.532051,1.0,0.141844,0.733802,0.628776,0,6,18,1,204,10,jenkinsci_jenkinsfile-runner,20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,v2
9,18,0,162,2,claude,8,52,0,0.673913,0.445748,0.923077,0.660377,0.888889,0.765432,0.844444,0.506757,1.0,0.132075,0.70288,0.602518,0,13,24,1,206,12,jenkinsci_jenkinsfile-runner,20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,v3
0,2,0,35,3,claude,0,0,0,0.936709,0.931818,1.0,0.875,0.571429,1.0,0.571429,0.97619,1.0,0.03125,0.832227,0.624479,0,0,0,0,27,0,mitre_HTTP-Proxy-Servlet,20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,generated
0,0,0,28,2,claude,0,1,0,0.906667,0.9,1.0,0.912281,0.666667,0.957746,0.666667,0.923077,1.0,0.035088,0.856351,0.637049,0,3,4,0,27,0,mitre_HTTP-Proxy-Servlet,20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,v2
1,0,0,29,1,claude,1,0,0,0.931507,0.936709,1.0,0.931034,0.8,0.931507,0.8,0.948718,1.0,0.034483,0.906378,0.67809,0,2,4,0,27,0,mitre_HTTP-Proxy-Servlet,20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,v3
2,15,6,76,14,claude,11,18,0,0.807692,0.658147,0.625,0.573333,0.625,0.84,0.75,0.761566,1.0,0.066667,0.643533,0.61998,4,0,16,0,64,2,stealthcopter_AndroidNetworkTools,20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,generated
6,23,1,42,1,claude,4,11,0,0.789116,0.622378,0.8,0.444444,0.64,0.859259,0.92,0.74717,0.957143,0.102564,0.616176,0.675678,7,5,22,1,63,3,stealthcopter_AndroidNetworkTools,20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,v2
3,10,0,39,1,claude,2,9,0,0.773723,0.591093,0.888889,0.473684,0.625,0.861789,0.875,0.725664,0.969312,0.105263,0.621521,0.660148,6,10,34,1,63,5,stealthcopter_AndroidNetworkTools,20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,v3
