agent,commit_sha,repo_slug,repo_url,run_id,status
codex,e8df64d86118d73572f17b2f23528c1817fe8cc9,Netflix_concurrency-limits,https://github.com/Netflix/concurrency-limits.git,20260508T095153Z__Netflix_concurrency-limits__e8df64d8,failed
codex,ddfde340e4c1f3acb6bfe10b8c3804dd63ae121b,pwittchen_ReactiveNetwork,https://github.com/pwittchen/ReactiveNetwork.git,20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,failed
codex,a27f6e4151ba7b39965ca47edb2bf0aeed7102e5,RikkaApps_Shizuku-API,https://github.com/RikkaApps/Shizuku-API.git,20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,failed
codex,269096609cb81dad5e21c8d19e669a656bebacf4,TheoKanning_openai-java,https://github.com/TheoKanning/openai-java.git,20260508T095210Z__TheoKanning_openai-java__26909660,failed
codex,24fe3186825013545b83430d1a5e7ae3dba91f78,whwlsfb_JDumpSpider,https://github.com/whwlsfb/JDumpSpider.git,20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,failed
codex,eb4d0a6b2b117285519b3c6f256cdb35ab13e056,YeautyYE_netty-websocket-spring-boot-starter,https://github.com/YeautyYE/netty-websocket-spring-boot-starter.git,20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,failed
codex,0da571201671956ea0a3593d2eef529c8bfab139,JMCuixy_swagger2word,https://github.com/JMCuixy/swagger2word.git,20260508T095225Z__JMCuixy_swagger2word__0da57120,failed
codex,90faafbb306e6eea4f71616c7d0f0da39160aeb0,eugene-khyst_postgresql-event-sourcing,https://github.com/eugene-khyst/postgresql-event-sourcing.git,20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,failed
codex,d3d721fb849f164a4661c9bd55ad038736ece34a,facebook_SoLoader,https://github.com/facebook/SoLoader.git,20260508T095237Z__facebook_SoLoader__d3d721fb,failed
codex,cf1cd118d63c4114a0536d879cf06cde78c05049,feiniaojin_graceful-response,https://github.com/feiniaojin/graceful-response.git,20260508T095244Z__feiniaojin_graceful-response__cf1cd118,failed
codex,9be9c0fb02f95f20fb230bcc88236807b1520b5e,jenkinsci_jenkinsfile-runner,https://github.com/jenkinsci/jenkinsfile-runner.git,20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,failed
codex,c799c5e17f067f7bdc5abf28f6377891fb182610,mitre_HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,failed
codex,a82af8a530988f1ace4c0579762d7620aeea7561,stealthcopter_AndroidNetworkTools,https://github.com/stealthcopter/AndroidNetworkTools.git,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,failed
claude,8e18d20dc477aa9782e1ca0fa38cd666505e39a3,19MisterX98_SeedcrackerX,https://github.com/19MisterX98/SeedcrackerX.git,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,failed
claude,9cf50bf9b751b40778f473f3b19fcfe2c4d40599,airbnb_native-navigation,https://github.com/airbnb/native-navigation.git,20260510T154735Z__airbnb_native-navigation__9cf50bf9,failed
claude,bf149df61f03e7191f0a0cc71dfb2352f91173b2,amitshekhariitbhu_Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database.git,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,failed
claude,611b12c86f61a7a30d8edb735110450c79b2637a,amitshekhariitbhu_PRDownloader,https://github.com/amitshekhariitbhu/PRDownloader.git,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,failed
claude,4fc23ccbd610ec16d14c2e7728e0593bffa6ac64,awaitility_awaitility,https://github.com/awaitility/awaitility.git,20260510T154759Z__awaitility_awaitility__4fc23ccb,failed
claude,f61030e46269319e2d72b938501676420657b9c8,DantSu_ESCPOS-ThermalPrinter-Android,https://github.com/DantSu/ESCPOS-ThermalPrinter-Android.git,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,failed
claude,3faa6b27a36fe93c71c1b475579f9f57a8698da3,elvishew_xLog,https://github.com/elvishew/xLog.git,20260510T154813Z__elvishew_xLog__3faa6b27,failed
