agent,andvari_reason,andvari_status,kvasir_reason,kvasir_status,lidskjalv_reason,lidskjalv_status,mimir_reason,mimir_status,project_key,repo_slug,run_id,variant
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated_v2,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v2
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated_v3,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v3
codex,,,,,build_failure,failed,,,esoxjem_MovieGuide__original,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated_v2,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated_v3,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v3
codex,,,,,unknown,failed,,,19MisterX98_SeedcrackerX__original,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,original
codex,,passed,no-test-files-found,skipped,,passed,,passed,19MisterX98_SeedcrackerX__generated_codex,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,generated
codex,,passed,no-test-files-found,skipped,,passed,,passed,19MisterX98_SeedcrackerX__generated_v2_codex,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,v2
codex,,passed,no-test-files-found,skipped,cli_fallback_failed,failed,,passed,19MisterX98_SeedcrackerX__generated_v3_codex,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,v3
codex,,,,,build_jdk_mismatch,failed,,,airbnb_native-navigation__original,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,original
codex,,passed,no-test-files-found,skipped,,passed,,passed,airbnb_native-navigation__generated_codex,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,generated
codex,,passed,no-test-files-found,skipped,,passed,,passed,airbnb_native-navigation__generated_v2_codex,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,v2
codex,,passed,no-test-files-found,skipped,,passed,,passed,airbnb_native-navigation__generated_v3_codex,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,v3
codex,,,,,,passed,,,awaitility_awaitility__original,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,awaitility_awaitility__generated_codex,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,awaitility_awaitility__generated_v2_codex,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,v2
